253	79
ID	HK/1/1968 	HK/107/1971 	BI/21793/1972 	EN/42/1972 	PC/1/1973 	BI/5930/1974 	SL/840/1974 	VI/3A/1975 	VI/3C/1975 	AM/1609/1977 	TE/1A/1977 	TE/1B/1977 	BI/2461/1978 	BA/1/1979 	BA/2/1979 	EN/496/1980 	NL/209/1980 	RD/577/1980 	SH/31/1980 	NL/233/1982 	NL/241/1982 	PH/2/1982 	PH/2V/1982 	CE/1A/1984 	CE/1B/1984 	CC/4/1985 	NL/330/1985 	NL/333/1985 	ST/10/1985 	WE/4/1985 	CO/2/1986 	LE/360/1986 	SH/11/1987 	SI/2/1987 	VI/7/1987 	NL/450/1988 	BE/353/1989 	GU/54/1989 	NL/620/1989 	HK/34/1990 	VI/2/1990 	LY/1149/1991 	BE/32A/1992 	BE/32V/1992 	BE/32B/1992 	GD/25/1993 	MA/G252/1993 	OS/2352/1993 	SD/9/1993 	JO/33/1994 	NL/18/1994 	PR/413/1994 	FI/338/1995 	GE/A9509/1995 	LY/2279/1995 	NA/933/1995 	NL/1/1995 	NL/47/1995 	NL/218/1995 	WU/359B/1995 	BR/8/1996 	NL/172/1996 	SP/1/1996 	AU/10/1997 	NL/286/1997 	SY/5A/1997 	SY/5B/1997 	SY/5HAY/1997 	SY/5V/1997 	NL/5/1998 	MW/10/1999 	PM/2007/1999 	NL/118/2001 	NL/124/2001 	NL/126/2001 	FU/411/2002 	NL/1/2002 	NL/22/2003 	NL/88/2003
BI/15793/1968  	9.903909e+00 	1.110549e+01 	1.136246e+01 	8.542739e+00 	7.590417e+00 	1.098253e+01 	6.354347e+00 	6.624946e+00 	3.877621e+00 	3.702829e+00 	4.433918e+00 	5.354632e+00 	4.263417e+00 	6.254317e+00 	6.159924e+00 	2.839026e+00 	3.568038e+00 	4.124692e+00 	6.253643e+00 	5.187577e+00 	3.948531e+00 	3.908256e+00 	5.675196e+00 	9.588400e+00 	6.940006e+00 	5.997730e+00 	4.113900e+00 	8.708674e+00 	5.418728e+00 	2.553129e+00 	3.869994e+00 	4.361085e+00 	-1.773194e+00 	1.537187e+00 	6.174569e+00 	1.970900e+00 	4.614294e+00 	-3.053292e+00 	4.140654e-01 	4.259536e+00 	6.124223e+00 	8.012687e+00 	2.715583e+00 	7.064773e+00 	3.820301e+00 	6.775343e+00 	7.627960e+00 	2.728135e+00 	3.112939e+00 	5.866435e+00 	7.129131e+00 	8.583334e+00 	3.682531e+00 	4.228955e+00 	6.796821e+00 	8.191269e+00 	3.779924e+00 	6.977249e+00 	5.087249e+00 	8.156949e+00 	6.036707e+00 	7.670567e+00 	5.395504e+00 	6.831974e+00 	6.621342e+00 	1.133455e+01 	1.024007e+01 	1.074481e+01 	5.676906e+00 	4.418195e+00 	1.129873e+01 	1.069070e+01 	9.624052e+00 	9.973941e+00 	8.058584e+00 	4.881717e+00 	8.363458e+00 	6.490559e+00 	6.321367e+00 
BI/16190/1968  	9.158015e+00 	8.484057e+00 	1.016566e+01 	8.295031e+00 	7.606970e+00 	1.013191e+01 	6.221519e+00 	6.623336e+00 	4.785504e+00 	4.359941e+00 	3.864847e+00 	4.724147e+00 	3.400999e+00 	4.673067e+00 	4.566217e+00 	2.072762e+00 	3.466693e+00 	2.975687e+00 	4.903160e+00 	4.406592e+00 	3.640566e+00 	3.020858e+00 	4.394025e+00 	7.448958e+00 	5.136175e+00 	4.227548e+00 	2.538241e+00 	5.984285e+00 	3.055553e+00 	6.310515e-01 	1.697180e+00 	2.726854e+00 	-2.922581e+00 	-4.370563e-01 	3.453297e+00 	-6.535007e-01 	2.764948e+00 	-4.082402e+00 	-2.398680e+00 	2.970230e+00 	3.128010e+00 	4.543676e+00 	3.130956e-01 	4.852455e+00 	1.840406e+00 	5.904253e+00 	5.393333e+00 	4.399278e-01 	1.231484e+00 	4.597225e+00 	5.070528e+00 	6.341112e+00 	1.795547e+00 	2.316007e+00 	4.754486e+00 	5.671873e+00 	2.684043e+00 	4.934198e+00 	3.617565e+00 	5.250228e+00 	3.587941e+00 	5.109123e+00 	2.975108e+00 	3.706428e+00 	4.029282e+00 	8.256252e+00 	8.367150e+00 	8.600702e+00 	3.253968e+00 	1.922193e+00 	8.903067e+00 	8.209126e+00 	6.897274e+00 	7.323231e+00 	5.585921e+00 	4.669423e+00 	5.924737e+00 	5.428823e+00 	4.192146e+00 
BI/16398/1968  	1.166696e+01 	1.138233e+01 	1.253703e+01 	9.682514e+00 	8.693451e+00 	1.228163e+01 	7.197638e+00 	7.089566e+00 	5.175254e+00 	4.824931e+00 	5.126846e+00 	6.080491e+00 	4.704970e+00 	6.638179e+00 	6.191379e+00 	3.565519e+00 	4.465702e+00 	4.498677e+00 	6.891803e+00 	5.997477e+00 	4.807235e+00 	4.152673e+00 	6.108961e+00 	1.055296e+01 	7.283076e+00 	6.097737e+00 	3.744951e+00 	8.805097e+00 	4.588633e+00 	1.305879e+00 	2.692016e+00 	3.948390e+00 	-3.441944e+00 	1.268115e-01 	5.010208e+00 	2.399731e-01 	3.992309e+00 	-5.243963e+00 	-1.614004e+00 	3.912127e+00 	4.954120e+00 	6.959816e+00 	2.076646e+00 	7.376790e+00 	3.311636e+00 	8.506032e+00 	8.439196e+00 	2.258767e+00 	3.197862e+00 	7.132095e+00 	8.217993e+00 	9.524291e+00 	4.157053e+00 	4.579088e+00 	7.664590e+00 	8.602613e+00 	4.776054e+00 	7.923742e+00 	6.175889e+00 	8.718379e+00 	6.015486e+00 	8.157993e+00 	5.431687e+00 	6.486579e+00 	6.583031e+00 	1.197968e+01 	1.148345e+01 	1.174160e+01 	5.240253e+00 	4.122669e+00 	1.229094e+01 	1.163727e+01 	1.007331e+01 	1.076497e+01 	8.044114e+00 	6.509910e+00 	8.800663e+00 	7.834387e+00 	6.409578e+00 
HK/1/1968  	7.995004e+00 	9.131892e+00 	1.083244e+01 	8.539641e+00 	8.190518e+00 	1.081247e+01 	6.972190e+00 	7.907732e+00 	4.513237e+00 	4.094788e+00 	4.009973e+00 	4.799933e+00 	3.143494e+00 	5.118240e+00 	5.392994e+00 	1.239657e+00 	2.484555e+00 	2.341926e+00 	4.622251e+00 	3.612243e+00 	2.585471e+00 	3.260504e+00 	4.474851e+00 	7.074921e+00 	5.901728e+00 	4.844660e+00 	3.867783e+00 	6.857239e+00 	5.005582e+00 	3.178223e+00 	3.809368e+00 	4.239445e+00 	5.504071e-01 	2.678720e+00 	6.410574e+00 	2.591010e+00 	4.832921e+00 	1.790967e-01 	6.107614e-01 	5.760113e+00 	5.839388e+00 	7.297247e+00 	2.230144e+00 	5.706511e+00 	4.373578e+00 	3.996369e+00 	5.049485e+00 	2.213668e+00 	1.896805e+00 	3.282768e+00 	3.374108e+00 	5.958143e+00 	1.064839e+00 	2.539968e+00 	3.811787e+00 	5.832411e+00 	1.748625e+00 	4.077707e+00 	2.507668e+00 	4.913920e+00 	4.409513e+00 	4.927578e+00 	3.129015e+00 	4.181469e+00 	4.943063e+00 	8.042313e+00 	7.032534e+00 	7.736300e+00 	4.033052e+00 	2.502183e+00 	8.458439e+00 	7.355863e+00 	6.740408e+00 	6.434465e+00 	6.193923e+00 	1.023617e+00 	5.709110e+00 	2.561549e+00 	4.169405e+00 
BI/808/1969  	9.772930e+00 	1.306080e+01 	1.224614e+01 	9.345870e+00 	7.862968e+00 	1.153983e+01 	6.714941e+00 	7.679081e+00 	2.753843e+00 	2.833680e+00 	3.238979e+00 	4.129612e+00 	3.139396e+00 	5.499977e+00 	5.824612e+00 	8.821432e-01 	2.122407e+00 	2.911897e+00 	5.241049e+00 	3.944111e+00 	2.453941e+00 	2.972321e+00 	4.815308e+00 	8.725049e+00 	6.437987e+00 	5.351150e+00 	3.606894e+00 	8.510055e+00 	5.758775e+00 	2.659857e+00 	4.187629e+00 	4.109736e+00 	-1.760878e+00 	1.922195e+00 	7.695142e+00 	2.487330e+00 	5.676746e+00 	-2.264422e+00 	1.102592e+00 	5.496413e+00 	7.924442e+00 	9.755031e+00 	3.930225e+00 	6.982664e+00 	4.918523e+00 	5.713157e+00 	6.945648e+00 	3.365230e+00 	3.635670e+00 	5.052666e+00 	6.178486e+00 	7.539806e+00 	3.823569e+00 	3.031585e+00 	6.173133e+00 	8.512955e+00 	2.443309e+00 	6.119818e+00 	3.780771e+00 	7.512004e+00 	6.015110e+00 	7.551199e+00 	5.252030e+00 	7.539158e+00 	6.821613e+00 	1.059459e+01 	1.026072e+01 	1.020192e+01 	6.776875e+00 	4.643161e+00 	1.113025e+01 	1.000115e+01 	9.289564e+00 	9.105378e+00 	8.262954e+00 	3.990383e+00 	8.398374e+00 	5.618817e+00 	6.625337e+00 
BI/908/1969  	1.155442e+01 	1.097095e+01 	1.166872e+01 	8.903224e+00 	7.525621e+00 	1.128522e+01 	6.223530e+00 	6.361523e+00 	4.949432e+00 	5.094265e+00 	4.986784e+00 	5.891218e+00 	4.932471e+00 	6.485786e+00 	6.323405e+00 	4.066069e+00 	4.986909e+00 	4.877114e+00 	7.242395e+00 	6.447649e+00 	5.420488e+00 	4.446820e+00 	6.134162e+00 	1.080221e+01 	7.378045e+00 	6.359745e+00 	3.860231e+00 	8.915588e+00 	4.715911e+00 	1.200343e+00 	2.845481e+00 	4.011063e+00 	-3.999022e+00 	-4.679304e-01 	4.802481e+00 	-8.886525e-02 	4.036865e+00 	-5.986842e+00 	-1.420659e+00 	2.748282e+00 	4.641949e+00 	6.669905e+00 	1.687841e+00 	7.336281e+00 	2.639007e+00 	9.035997e+00 	8.653335e+00 	1.880791e+00 	3.073153e+00 	7.573623e+00 	8.940033e+00 	9.824408e+00 	4.639508e+00 	4.695562e+00 	8.098520e+00 	8.362098e+00 	5.154835e+00 	8.231955e+00 	6.618348e+00 	9.007698e+00 	5.694006e+00 	8.305522e+00 	5.403880e+00 	6.870123e+00 	6.115998e+00 	1.250563e+01 	1.174549e+01 	1.205311e+01 	5.220533e+00 	4.034566e+00 	1.262274e+01 	1.232715e+01 	1.071127e+01 	1.163605e+01 	8.510863e+00 	7.592103e+00 	9.336309e+00 	8.964094e+00 	6.830063e+00 
BI/17938/1969  	1.049144e+01 	1.016329e+01 	1.115791e+01 	8.561134e+00 	7.438986e+00 	1.087339e+01 	6.219935e+00 	6.506883e+00 	4.818538e+00 	4.876316e+00 	4.690213e+00 	5.504084e+00 	4.399239e+00 	6.008896e+00 	5.936555e+00 	3.411679e+00 	4.349059e+00 	4.151713e+00 	6.495353e+00 	5.670880e+00 	4.684755e+00 	4.093810e+00 	5.591781e+00 	9.716029e+00 	6.910074e+00 	5.866418e+00 	3.764147e+00 	8.213717e+00 	4.617795e+00 	1.567741e+00 	2.909231e+00 	3.963543e+00 	-2.869505e+00 	2.166511e-01 	5.000629e+00 	4.630314e-01 	4.156505e+00 	-4.470134e+00 	-9.521691e-01 	3.399486e+00 	4.733760e+00 	6.581697e+00 	1.857894e+00 	6.855208e+00 	3.055012e+00 	7.806889e+00 	7.697050e+00 	2.013843e+00 	2.854595e+00 	6.540900e+00 	7.516767e+00 	8.778158e+00 	3.832287e+00 	4.188112e+00 	6.994232e+00 	7.549791e+00 	4.401454e+00 	7.161167e+00 	5.657577e+00 	7.890908e+00 	5.245051e+00 	7.351577e+00 	4.732242e+00 	6.052467e+00 	5.659164e+00 	1.116286e+01 	1.035098e+01 	1.071271e+01 	4.743508e+00 	3.561691e+00 	1.136407e+01 	1.089411e+01 	9.540567e+00 	1.017767e+01 	7.755631e+00 	5.899689e+00 	8.294423e+00 	7.286415e+00 	6.036225e+00 
BI/93/1970  	1.120466e+01 	1.108481e+01 	1.182179e+01 	9.079407e+00 	7.775277e+00 	1.143981e+01 	6.497852e+00 	6.681442e+00 	4.745583e+00 	4.800217e+00 	4.672477e+00 	5.508969e+00 	4.411208e+00 	6.160726e+00 	5.986007e+00 	3.366078e+00 	4.333457e+00 	4.232270e+00 	6.658029e+00 	5.787006e+00 	4.687460e+00 	4.011067e+00 	5.709733e+00 	1.016794e+01 	7.060713e+00 	5.921592e+00 	3.601984e+00 	8.528315e+00 	4.575637e+00 	1.225653e+00 	2.710951e+00 	3.834816e+00 	-3.560128e+00 	-1.081855e-01 	5.086235e+00 	1.594012e-01 	4.227239e+00 	-5.243967e+00 	-1.271015e+00 	3.516363e+00 	5.001086e+00 	6.939415e+00 	2.194918e+00 	7.188615e+00 	3.228745e+00 	8.398931e+00 	8.194857e+00 	2.261476e+00 	3.285874e+00 	7.073764e+00 	8.153361e+00 	9.212238e+00 	4.427416e+00 	4.327957e+00 	7.559067e+00 	8.203916e+00 	4.671167e+00 	7.695017e+00 	6.047229e+00 	8.459116e+00 	5.610862e+00 	7.943777e+00 	5.158893e+00 	6.595915e+00 	6.101117e+00 	1.167512e+01 	1.117767e+01 	1.130761e+01 	5.215940e+00 	3.947169e+00 	1.201987e+01 	1.146177e+01 	1.000997e+01 	1.068788e+01 	8.078738e+00 	6.594453e+00 	8.822389e+00 	7.937292e+00 	6.469900e+00 
BI/2668/1970  	9.915854e+00 	9.519850e+00 	1.045476e+01 	8.025730e+00 	6.833899e+00 	1.016818e+01 	5.718309e+00 	6.291510e+00 	4.705486e+00 	4.965827e+00 	4.495118e+00 	5.287196e+00 	4.336238e+00 	5.709425e+00 	5.886801e+00 	3.360194e+00 	4.402187e+00 	4.074451e+00 	6.359066e+00 	5.603886e+00 	4.750213e+00 	4.140421e+00 	5.390702e+00 	9.318997e+00 	6.718518e+00 	5.804929e+00 	3.827729e+00 	7.923850e+00 	4.680984e+00 	1.742082e+00 	3.110379e+00 	4.010166e+00 	-2.629766e+00 	1.994393e-01 	4.964263e+00 	5.255257e-01 	4.180969e+00 	-4.138916e+00 	-6.830411e-01 	2.953935e+00 	4.537005e+00 	6.307907e+00 	1.451494e+00 	6.489465e+00 	2.684057e+00 	7.394383e+00 	7.231558e+00 	1.611480e+00 	2.415102e+00 	6.142171e+00 	7.121804e+00 	8.361743e+00 	3.466776e+00 	3.877573e+00 	6.576157e+00 	6.928959e+00 	4.102021e+00 	6.687400e+00 	5.288751e+00 	7.385407e+00 	4.753303e+00 	6.856218e+00 	4.291944e+00 	5.771415e+00 	5.082060e+00 	1.082471e+01 	9.816208e+00 	1.030866e+01 	4.447134e+00 	3.162823e+00 	1.093850e+01 	1.060489e+01 	9.329290e+00 	9.964019e+00 	7.661559e+00 	5.716796e+00 	8.040365e+00 	7.124211e+00 	5.851676e+00 
BI/6449/1971  	9.101306e+00 	8.651312e+00 	1.006274e+01 	7.642397e+00 	6.886099e+00 	9.934089e+00 	5.825918e+00 	6.189349e+00 	4.794460e+00 	4.832228e+00 	4.661873e+00 	5.362317e+00 	4.182652e+00 	5.721343e+00 	5.749230e+00 	3.328077e+00 	4.076190e+00 	3.777537e+00 	6.037023e+00 	5.205550e+00 	4.346904e+00 	4.091513e+00 	5.268854e+00 	8.798744e+00 	6.654402e+00 	5.678825e+00 	4.022481e+00 	7.666066e+00 	4.723595e+00 	2.268649e+00 	3.243091e+00 	4.201682e+00 	-1.326869e+00 	1.116547e+00 	5.095788e+00 	1.303411e+00 	4.236033e+00 	-2.689417e+00 	-1.022951e-01 	3.710535e+00 	4.590626e+00 	6.269995e+00 	1.854263e+00 	6.446084e+00 	3.300799e+00 	6.653409e+00 	6.884664e+00 	2.122447e+00 	2.532357e+00 	5.604283e+00 	6.273901e+00 	7.984207e+00 	2.997904e+00 	4.083243e+00 	6.002664e+00 	6.543330e+00 	3.968868e+00 	6.246215e+00 	4.992993e+00 	6.953018e+00 	4.813349e+00 	6.399037e+00 	4.114537e+00 	5.194143e+00 	5.123747e+00 	1.006285e+01 	8.714398e+00 	9.385503e+00 	4.039765e+00 	3.098207e+00 	1.005907e+01 	9.628660e+00 	8.546180e+00 	9.005535e+00 	7.097544e+00 	4.176722e+00 	7.291524e+00 	5.695750e+00 	5.229353e+00 
