253	79
ID	HK/1/1968 	HK/107/1971 	BI/21793/1972 	EN/42/1972 	PC/1/1973 	BI/5930/1974 	SL/840/1974 	VI/3A/1975 	VI/3C/1975 	AM/1609/1977 	TE/1A/1977 	TE/1B/1977 	BI/2461/1978 	BA/1/1979 	BA/2/1979 	EN/496/1980 	NL/209/1980 	RD/577/1980 	SH/31/1980 	NL/233/1982 	NL/241/1982 	PH/2/1982 	PH/2V/1982 	CE/1A/1984 	CE/1B/1984 	CC/4/1985 	NL/330/1985 	NL/333/1985 	ST/10/1985 	WE/4/1985 	CO/2/1986 	LE/360/1986 	SH/11/1987 	SI/2/1987 	VI/7/1987 	NL/450/1988 	BE/353/1989 	GU/54/1989 	NL/620/1989 	HK/34/1990 	VI/2/1990 	LY/1149/1991 	BE/32A/1992 	BE/32V/1992 	BE/32B/1992 	GD/25/1993 	MA/G252/1993 	OS/2352/1993 	SD/9/1993 	JO/33/1994 	NL/18/1994 	PR/413/1994 	FI/338/1995 	GE/A9509/1995 	LY/2279/1995 	NA/933/1995 	NL/1/1995 	NL/47/1995 	NL/218/1995 	WU/359B/1995 	BR/8/1996 	NL/172/1996 	SP/1/1996 	AU/10/1997 	NL/286/1997 	SY/5A/1997 	SY/5B/1997 	SY/5HAY/1997 	SY/5V/1997 	NL/5/1998 	MW/10/1999 	PM/2007/1999 	NL/118/2001 	NL/124/2001 	NL/126/2001 	FU/411/2002 	NL/1/2002 	NL/22/2003 	NL/88/2003
BI/15793/1968  	1.014568e+01 	0 	0 	8.646739e+00 	7.446256e+00 	0 	0 	6.655352e+00 	0 	0 	0 	0 	0 	6 	0 	3 	0 	0 	0 	0 	0 	4 	0 	0 	0 	0 	4 	0 	0 	3 	0 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
BI/16190/1968  	11 	0 	11 	8 	7.000000e+00 	10 	6.000000e+00 	6.000000e+00 	0 	4 	0 	0 	3.500154e+00 	0 	0 	0 	3 	3 	0 	4 	3 	0 	0 	0 	0 	0 	4 	0 	3.500154e+00 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	3 	4 	0 	0 	0 	0 	5.250466e+00 	0 	0 	0 	0 	0 	0 	0 	0 	0 	3 	0 	3.444261e+00 	0 	0 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
BI/16398/1968  	1.186171e+01 	0 	0 	9.861707e+00 	8.862947e+00 	0 	6.867896e+00 	7.153805e+00 	5.000000e+00 	5.000000e+00 	5.333243e+00 	5.807355e+00 	4.500154e+00 	0 	6.000000e+00 	4.000000e+00 	0 	0 	0 	0 	0 	0 	0 	0 	7.000000e+00 	0 	0 	0 	0 	0 	3 	0 	0 	0 	5.000000e+00 	0 	4.000000e+00 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
HK/1/1968  	12 	10 	0 	11 	6.405992e+00 	0 	4 	0 	4 	0 	0 	4 	0 	6 	0 	0 	0 	0 	0 	0 	0 	0 	4.045804e+00 	0 	0 	0 	0 	0 	0 	0 	0 	4 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	5.227850e+00 	0 	2.415037e+00 	0 	0 	0 	2.415037e+00 	3.415037e+00 	0 	0 	0 	3.192645e+00 	5.076375e+00 	3 	4.415037e+00 	3.444261e+00 	0 	0 	4 	4 	3.207535e+00 	5.415037e+00 	0 	0 	0 	2.415037e+00 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
BI/808/1969  	10 	0 	0 	9 	7.584963e+00 	0 	7.000000e+00 	8 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
BI/908/1969  	12 	0 	0 	9 	7.000000e+00 	0 	6.000000e+00 	6.510962e+00 	5.000000e+00 	5.000000e+00 	5.333243e+00 	6.584963e+00 	4.500154e+00 	0 	6.000000e+00 	4.000000e+00 	0 	0 	0 	0 	0 	0 	0 	0 	7.000000e+00 	0 	0 	0 	0 	0 	3 	4 	0 	0 	5.000000e+00 	0 	4.000000e+00 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
BI/17938/1969  	1.079181e+01 	0 	0 	8.501439e+00 	7.498251e+00 	0 	6.070389e+00 	6.201634e+00 	5.000000e+00 	5.000000e+00 	0 	5.321928e+00 	4.500154e+00 	6 	6.000000e+00 	3 	0 	0 	0 	0 	0 	4 	0 	0 	7.000000e+00 	0 	4 	0 	0 	0 	3 	4 	0 	0 	5.000000e+00 	0 	4.000000e+00 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
BI/93/1970  	1.179312e+01 	0 	0 	9 	0 	0 	6.510962e+00 	6.201634e+00 	5.000000e+00 	5.000000e+00 	0 	5.000000e+00 	4.500154e+00 	6 	6.000000e+00 	3 	0 	0 	0 	0 	0 	4 	0 	0 	7.000000e+00 	0 	4 	0 	0 	0 	3 	4 	0 	0 	5.000000e+00 	0 	4.000000e+00 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
BI/2668/1970  	10 	0 	0 	8 	7.000000e+00 	0 	5.263034e+00 	6.201634e+00 	5.000000e+00 	5.000000e+00 	4.333243e+00 	5.000000e+00 	4.500154e+00 	6 	6.000000e+00 	3 	0 	0 	0 	0 	0 	4 	0 	0 	7.000000e+00 	0 	4 	0 	0 	0 	3 	4 	0 	0 	5.000000e+00 	0 	4.000000e+00 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
BI/6449/1971  	9.044394e+00 	0 	0 	8.292782e+00 	6.510962e+00 	0 	0 	5.807355e+00 	5.000000e+00 	5.000000e+00 	4.333243e+00 	5.000000e+00 	4.500154e+00 	6 	6.000000e+00 	3 	0 	0 	0 	0 	0 	4 	0 	0 	7.000000e+00 	0 	4 	0 	4.500154e+00 	3 	3 	4 	0 	0 	5.000000e+00 	0 	4.000000e+00 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
