253 	 79 
ID 	HK/1/68 	HK/107/71 	BI/21793/72 	EN/42/72 	PC/1/73 	BI/5930/74 	SL/840/74 	VI/3A/75 	VI/3C/75 	AM/1609/77 	TE/1A/77 	TE/1B/77 	BI/2461/78 	BA/1/79 	BA/2/79 	EN/496/80 	NL/209/80 	RD/577/80 	SH/31/80 	NL/233/82 	NL/241/82 	PH/2/82 	PH/2V/82 	CE/1A/84 	CE/1B/84 	CC/4/85 	NL/330/85 	NL/333/85 	ST/10/85 	WE/4/85 	CO/2/86 	LE/360/86 	SH/11/87 	SI/2/87 	VI/7/87 	NL/450/88 	BE/353/89 	GU/54/89 	NL/620/89 	HK/34/90 	VI/2/90 	LY/1149/91 	BE/32A/92 	BE/32V/92 	BE/32B/92 	GD/25/93 	MA/G252/93 	OS/2352/93 	SD/9/93 	JO/33/94 	NL/18/94 	PR/413/94 	FI/338/95 	GE/A9509/95 	LY/2279/95 	NA/933/95 	NL/1/95 	NL/47/95 	NL/218/95 	WU/359B/95 	BR/8/96 	NL/172/96 	SP/1/96 	AU/10/97 	NL/286/97 	SY/5A/97 	SY/5B/97 	SY/5HAY/97 	SY/5V/97 	NL/5/98 	MW/10/99 	PM/2007/99 	NL/118/01 	NL/124/01 	NL/126/01 	FU/411/02 	NL/1/02 	NL/22/03 	NL/88/03 
Reference 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
BI/15793/68 	354 	0 	0 	501 	109 	0 	0 	63 	0 	0 	0 	0 	0 	<10 	0 	<10 	0 	0 	0 	0 	0 	<10 	0 	0 	0 	0 	<10 	0 	0 	<10 	0 	<10 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
BI/16190/68 	640 	0 	640 	320 	80 	320 	40 	40 	0 	<10 	0 	0 	<10 	0 	0 	0 	<10 	<10 	0 	<10 	<10 	0 	0 	0 	0 	0 	<10 	0 	<10 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	<10 	<10 	0 	0 	0 	0 	<10 	0 	0 	0 	0 	0 	0 	0 	0 	0 	<10 	0 	<10 	0 	0 	<10 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
BI/16398/68 	1163 	0 	0 	1163 	291 	0 	73 	89 	<20 	<20 	<20 	35 	<20 	0 	<20 	<20 	0 	0 	0 	0 	0 	0 	0 	0 	<20 	0 	0 	0 	0 	0 	<20 	0 	0 	0 	<20 	0 	<20 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
HK/1/68 	1280 	1280 	0 	2560 	53 	0 	<10 	0 	<10 	0 	0 	<10 	0 	<10 	0 	0 	0 	0 	0 	0 	0 	0 	<10 	0 	0 	0 	0 	0 	0 	0 	0 	<10 	<10 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	<10 	0 	<10 	0 	0 	0 	<10 	<10 	0 	0 	0 	<10 	<10 	<10 	<10 	<10 	0 	0 	<10 	<10 	<10 	<10 	0 	0 	0 	<10 	<10 	0 	0 	0 	0 	0 	0 	0 	0 	0 
BI/808/69 	320 	0 	0 	640 	120 	0 	80 	160 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	<10 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
BI/908/69 	1280 	0 	0 	640 	80 	0 	40 	57 	<20 	<20 	<20 	60 	<20 	0 	<20 	<20 	0 	0 	0 	0 	0 	0 	0 	0 	<20 	0 	0 	0 	0 	0 	<20 	<10 	0 	0 	<20 	0 	<20 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
BI/17938/69 	554 	0 	0 	453 	113 	0 	42 	46 	<20 	<20 	0 	25 	<20 	<10 	<20 	<10 	0 	0 	0 	0 	0 	<10 	0 	0 	<20 	0 	<10 	0 	0 	0 	<20 	<10 	0 	0 	<20 	0 	<20 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
BI/93/70 	1109 	0 	0 	640 	0 	0 	57 	46 	<20 	<20 	0 	<20 	<20 	<10 	<20 	<10 	0 	0 	0 	0 	0 	<10 	0 	0 	<20 	0 	<10 	0 	0 	0 	<20 	<10 	0 	0 	<20 	0 	<20 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
BI/2668/70 	320 	0 	0 	320 	80 	0 	24 	46 	<20 	<20 	<10 	<20 	<20 	<10 	<20 	<10 	0 	0 	0 	0 	0 	<10 	0 	0 	<20 	0 	<10 	0 	0 	0 	<20 	<10 	0 	0 	<20 	0 	<20 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
