253	79
ID	HK/1/68 	HK/107/71 	BI/21793/72 	EN/42/72 	PC/1/73 	BI/5930/74 	SL/840/74 	VI/3A/75 	VI/3C/75 	AM/1609/77 	TE/1A/77 	TE/1B/77 	BI/2461/78 	BA/1/79 	BA/2/79 	EN/496/80 	NL/209/80 	RD/577/80 	SH/31/80 	NL/233/82 	NL/241/82 	PH/2/82 	PH/2V/82 	CE/1A/84 	CE/1B/84 	CC/4/85 	NL/330/85 	NL/333/85 	ST/10/85 	WE/4/85 	CO/2/86 	LE/360/86 	SH/11/87 	SI/2/87 	VI/7/87 	NL/450/88 	BE/353/89 	GU/54/89 	NL/620/89 	HK/34/90 	VI/2/90 	LY/1149/91 	BE/32A/92 	BE/32V/92 	BE/32B/92 	GD/25/93 	MA/G252/93 	OS/2352/93 	SD/9/93 	JO/33/94 	NL/18/94 	PR/413/94 	FI/338/95 	GE/A9509/95 	LY/2279/95 	NA/933/95 	NL/1/95 	NL/47/95 	NL/218/95 	WU/359B/95 	BR/8/96 	NL/172/96 	SP/1/96 	AU/10/97 	NL/286/97 	SY/5A/97 	SY/5B/97 	SY/5HAY/97 	SY/5V/97 	NL/5/98 	MW/10/99 	PM/2007/99 	NL/118/01 	NL/124/01 	NL/126/01 	FU/411/02 	NL/1/02 	NL/22/03 	NL/88/03
BI/15793/68  	1.014568e+01 	0 	0 	8.646739e+00 	7.446256e+00 	0 	0 	6.655352e+00 	0 	0 	0 	0 	0 	6 	0 	3 	0 	0 	0 	0 	0 	4 	0 	0 	0 	0 	4 	0 	0 	3 	0 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
BI/16190/68  	11 	0 	11 	8 	7.000000e+00 	10 	6.000000e+00 	6.000000e+00 	0 	4 	0 	0 	3.500154e+00 	0 	0 	0 	3 	3 	0 	4 	3 	0 	0 	0 	0 	0 	4 	0 	3.500154e+00 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	3 	4 	0 	0 	0 	0 	5.250466e+00 	0 	0 	0 	0 	0 	0 	0 	0 	0 	3 	0 	3.444261e+00 	0 	0 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
BI/16398/68  	1.186171e+01 	0 	0 	9.861707e+00 	8.862947e+00 	0 	6.867896e+00 	7.153805e+00 	5.000000e+00 	5.000000e+00 	5.333243e+00 	5.807355e+00 	4.500154e+00 	0 	6.000000e+00 	4.000000e+00 	0 	0 	0 	0 	0 	0 	0 	0 	7.000000e+00 	0 	0 	0 	0 	0 	3 	0 	0 	0 	5.000000e+00 	0 	4.000000e+00 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
HK/1/68  	12 	10 	0 	11 	6.405992e+00 	0 	4 	0 	4 	0 	0 	4 	0 	6 	0 	0 	0 	0 	0 	0 	0 	0 	4.045804e+00 	0 	0 	0 	0 	0 	0 	0 	0 	4 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	5.227850e+00 	0 	2.415037e+00 	0 	0 	0 	2.415037e+00 	3.415037e+00 	0 	0 	0 	3.192645e+00 	5.076375e+00 	3 	4.415037e+00 	3.444261e+00 	0 	0 	4 	4 	3.207535e+00 	5.415037e+00 	0 	0 	0 	2.415037e+00 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
BI/808/69  	10 	0 	0 	9 	7.584963e+00 	0 	7.000000e+00 	8 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
BI/908/69  	12 	0 	0 	9 	7.000000e+00 	0 	6.000000e+00 	6.510962e+00 	5.000000e+00 	5.000000e+00 	5.333243e+00 	6.584963e+00 	4.500154e+00 	0 	6.000000e+00 	4.000000e+00 	0 	0 	0 	0 	0 	0 	0 	0 	7.000000e+00 	0 	0 	0 	0 	0 	3 	4 	0 	0 	5.000000e+00 	0 	4.000000e+00 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
BI/17938/69  	1.079181e+01 	0 	0 	8.501439e+00 	7.498251e+00 	0 	6.070389e+00 	6.201634e+00 	5.000000e+00 	5.000000e+00 	0 	5.321928e+00 	4.500154e+00 	6 	6.000000e+00 	3 	0 	0 	0 	0 	0 	4 	0 	0 	7.000000e+00 	0 	4 	0 	0 	0 	3 	4 	0 	0 	5.000000e+00 	0 	4.000000e+00 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
BI/93/70  	1.179312e+01 	0 	0 	9 	0 	0 	6.510962e+00 	6.201634e+00 	5.000000e+00 	5.000000e+00 	0 	5.000000e+00 	4.500154e+00 	6 	6.000000e+00 	3 	0 	0 	0 	0 	0 	4 	0 	0 	7.000000e+00 	0 	4 	0 	0 	0 	3 	4 	0 	0 	5.000000e+00 	0 	4.000000e+00 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
BI/2668/70  	10 	0 	0 	8 	7.000000e+00 	0 	5.263034e+00 	6.201634e+00 	5.000000e+00 	5.000000e+00 	4.333243e+00 	5.000000e+00 	4.500154e+00 	6 	6.000000e+00 	3 	0 	0 	0 	0 	0 	4 	0 	0 	7.000000e+00 	0 	4 	0 	0 	0 	3 	4 	0 	0 	5.000000e+00 	0 	4.000000e+00 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
BI/6449/71  	9.044394e+00 	0 	0 	8.292782e+00 	6.510962e+00 	0 	0 	5.807355e+00 	5.000000e+00 	5.000000e+00 	4.333243e+00 	5.000000e+00 	4.500154e+00 	6 	6.000000e+00 	3 	0 	0 	0 	0 	0 	4 	0 	0 	7.000000e+00 	0 	4 	0 	4.500154e+00 	3 	3 	4 	0 	0 	5.000000e+00 	0 	4.000000e+00 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
